"OrigZoneNo","DestZoneNo","HBU_PA"
8309,"8346",1.49409953822473
8377,"8346",1.49409953822473
8331,"8346",2.98819907644946
8339,"8346",1.49409953822473
8381,"8346",1.49409953822473
8369,"8346",2.98819907644946
8361,"8346",1.49409953822473
8368,"8346",2.98819907644946
8371,"8346",1.49409953822473
8392,"8346",1.49409953822473
8382,"8346",1.49409953822473
8358,"8346",2.98819907644946
8353,"8346",2.98819907644946
8345,"8346",1.49409953822473
8325,"8346",1.49409953822473
8347,"8346",1.49409953822473
8375,"8346",2.98819907644946
8349,"8346",2.98819907644946
8333,"8346",1.49409953822473
8352,"8346",1.49409953822473
8367,"8346",4.48229861467419
8341,"8346",7.47049769112365
8348,"8346",1.49409953822473
8359,"8346",1.49409953822473
8346,"8346",2.98819907644946
8363,"8346",1.49409953822473
8337,"8346",1.49409953822473
8362,"8346",2.98819907644946
8329,"8346",1.49409953822473
8328,"8346",1.49409953822473
8310,"8346",2.98819907644946
8332,"8346",1.49409953822473
8304,"8346",7.47049769112365
8364,"8346",1.49409953822473
8335,"8346",1.49409953822473
8338,"8346",1.49409953822473
8340,"8346",4.48229861467419
8360,"8346",2.98819907644946
8376,"8346",1.49409953822473
8268,"8346",4.48229861467419
8254,"8346",2.98819907644946
8278,"8346",4.48229861467419
8282,"8346",7.47049769112365
8301,"8346",5.97639815289892
8291,"8346",5.97639815289892
8298,"8346",2.98819907644946
8299,"8346",4.48229861467419
8253,"8346",1.49409953822473
8243,"8346",1.49409953822473
8248,"8346",2.98819907644946
8247,"8346",4.48229861467419
8290,"8346",1.49409953822473
8302,"8346",7.47049769112365
8288,"8346",4.48229861467419
8294,"8346",2.98819907644946
8279,"8346",5.97639815289892
8308,"8346",5.97639815289892
8334,"8346",10.4586967675731
8314,"8346",2.98819907644946
8303,"8346",4.48229861467419
8313,"8346",7.47049769112365
8319,"8346",1.49409953822473
8322,"8346",1.49409953822473
8326,"8346",5.97639815289892
8317,"8346",1.49409953822473
8312,"8346",2.98819907644946
8350,"8346",1.49409953822473
8315,"8346",2.98819907644946
8263,"8346",2.98819907644946
8218,"8346",1.49409953822473
8255,"8346",1.49409953822473
8211,"8346",1.49409953822473
8210,"8346",1.49409953822473
8242,"8346",1.49409953822473
8229,"8346",1.49409953822473
8245,"8346",2.98819907644946
8236,"8346",1.49409953822473
8204,"8346",1.49409953822473
8267,"8222",1.49409953822473
8211,"8222",1.49409953822473
8208,"8222",1.49409953822473
8213,"8222",1.49409953822473
8210,"8222",1.49409953822473
8215,"8222",1.49409953822473
8219,"8222",1.49409953822473
8222,"8222",1.49409953822473
8245,"8222",4.48229861467419
8235,"8222",1.49409953822473
